,precision,recall,f1-score,support
318,0.9014158363922391,0.9884991374353076,0.9429511793746571,1739.0
319,0.9987799918666125,0.990722065348931,0.9947347104090725,2479.0
320,0.9981046247156937,0.9861423220973783,0.9920874152223059,2670.0
321,0.9809113300492611,0.9857673267326733,0.9833333333333333,1616.0
322,1.0,0.9444444444444444,0.9714285714285714,54.0
323,0.9894598155467721,0.9894598155467721,0.9894598155467721,759.0
324,1.0,0.9880952380952381,0.9940119760479041,756.0
325,1.0,1.0,1.0,96.0
326,1.0,0.9642857142857143,0.9818181818181818,28.0
327,0.8095238095238095,0.026687598116169546,0.05167173252279635,1274.0
328,0.8426966292134831,0.14326647564469913,0.24489795918367346,1047.0
329,0.6176470588235294,0.043478260869565216,0.08123791102514506,966.0
330,1.0,0.04093567251461988,0.07865168539325842,171.0
331,0.6666666666666666,0.01646090534979424,0.0321285140562249,243.0
332,1.0,0.02857142857142857,0.05555555555555555,210.0
333,0.6,0.012422360248447204,0.02434077079107505,483.0
334,0.8333333333333334,0.19736842105263158,0.3191489361702128,152.0
335,0.8089887640449438,0.16363636363636364,0.2722117202268431,440.0
336,0.8870967741935484,0.08448540706605223,0.15427769985974754,651.0
337,0.9739130434782609,0.988458927359131,0.9811320754716981,1473.0
338,0.9981617647058824,0.9945054945054945,0.9963302752293578,546.0
339,1.0,0.9952380952380953,0.9976133651551312,420.0
340,1.0,0.98989898989899,0.9949238578680203,99.0
341,1.0,0.9857549857549858,0.9928263988522238,351.0
342,1.0,0.9666666666666667,0.9830508474576272,60.0
343,1.0,0.9523809523809523,0.975609756097561,42.0
344,0.9310964649490713,0.9898089171974522,0.9595554183389935,1570.0
345,0.9581151832460733,0.9945652173913043,0.976,184.0
346,0.5658054097698829,0.9939716312056738,0.7211216876768716,2820.0
347,0.8498808578236696,0.4664341761115955,0.6023079088094568,2294.0
348,0.9926778242677824,0.9824016563146998,0.9875130072840791,966.0
349,0.9895968790637191,0.9908854166666666,0.9902407286922577,768.0
350,0.891989198919892,0.7760375880971025,0.8299832495812395,1277.0
351,1.0,0.09302325581395349,0.1702127659574468,43.0
352,0.8050682261208577,0.5342820181112549,0.6423017107309487,773.0
353,0.8912588874947721,0.9907019990702,0.9383531483927785,2151.0
354,1.0,0.9482758620689655,0.9734513274336283,58.0
355,0.7220609579100146,0.969785575048733,0.8277870216306157,1026.0
356,0.7503217503217503,0.7251243781094527,0.7375079063883618,804.0
357,0.7777777777777778,1.0,0.875,56.0
358,0.6211692597831212,0.8950407608695652,0.7333704425271361,2944.0
359,0.9928977272727273,0.9914893617021276,0.9921930447125621,1410.0
360,0.5632754342431762,0.8562806488117691,0.6795389911689866,2651.0
361,0.7388235294117647,0.9138533178114087,0.8170699973978662,1718.0
362,0.8728218780251694,0.7742593387720051,0.8205915813424346,9316.0
363,0.8210842082708378,0.8613171499213307,0.8407196138657306,4449.0
364,0.0,0.0,0.0,10.0
365,0.8279661016949152,0.9828973843058351,0.8988040478380864,994.0
366,0.927536231884058,0.9922480620155039,0.9588014981273408,258.0
367,0.9958100558659218,0.9944211994421199,0.9951151430565248,717.0
368,1.0,0.9753086419753086,0.9875,81.0
369,0.8708771929824561,0.9748625294579732,0.9199406968124537,1273.0
370,1.0,0.9883720930232558,0.9941520467836257,258.0
371,0.9393939393939394,0.96875,0.9538461538461539,128.0
372,0.9963065558633426,0.9782411604714415,0.9871912168344007,1103.0
373,0.8002154011847065,0.9886892880904857,0.8845238095238095,1503.0
374,1.0,0.010830324909747292,0.02142857142857143,831.0
375,1.0,1.0,1.0,1.0
376,1.0,0.9444444444444444,0.9714285714285714,18.0
377,1.0,1.0,1.0,1.0
378,1.0,1.0,1.0,4.0
379,1.0,1.0,1.0,1.0
380,1.0,1.0,1.0,4.0
381,0.0,0.0,0.0,11.0
382,0.0,0.0,0.0,1.0
383,1.0,1.0,1.0,2.0
384,1.0,1.0,1.0,5.0
385,1.0,1.0,1.0,15.0
386,1.0,1.0,1.0,7.0
387,1.0,1.0,1.0,16.0
388,1.0,0.9878665318503539,0.9938962360122076,989.0
389,1.0,0.9929203539823008,0.9964476021314387,1130.0
390,1.0,0.9902597402597403,0.9951060358890701,1540.0
391,1.0,0.9965753424657534,0.9982847341337907,292.0
392,1.0,0.9809523809523809,0.9903846153846154,105.0
393,0.0,0.0,0.0,73.0
394,0.982078853046595,0.9873873873873874,0.9847259658580413,555.0
395,0.9739696312364425,0.9868131868131869,0.980349344978166,455.0
396,1.0,0.98805256869773,0.9939903846153846,837.0
397,0.9924242424242424,0.9974619289340102,0.9949367088607595,1182.0
398,1.0,1.0,1.0,5.0
399,0.9833024118738405,0.993439550140581,0.9883449883449883,1067.0
400,1.0,0.04430379746835443,0.08484848484848485,158.0
401,0.0,0.0,0.0,67.0
402,1.0,0.022222222222222223,0.043478260869565216,90.0
403,1.0,1.0,1.0,2.0
404,0.0,0.0,0.0,82.0
405,0.0,0.0,0.0,4.0
406,0.9540229885057471,0.9880952380952381,0.9707602339181286,84.0
407,0.9675675675675676,0.9835164835164835,0.9754768392370572,182.0
408,1.0,0.10256410256410256,0.18604651162790697,39.0
409,1.0,0.9523809523809523,0.975609756097561,21.0
410,0.9523809523809523,0.9876543209876543,0.9696969696969697,243.0
411,1.0,1.0,1.0,12.0
412,1.0,0.9655172413793104,0.9824561403508771,29.0
413,0.8125,1.0,0.896551724137931,13.0
414,1.0,1.0,1.0,1.0
415,0.8461538461538461,1.0,0.9166666666666666,44.0
416,0.9679752066115702,0.9915343915343915,0.9796131730266597,945.0
417,1.0,0.9583333333333334,0.9787234042553191,24.0
418,0.9811320754716981,0.9629629629629629,0.9719626168224299,54.0
419,1.0,0.9583333333333334,0.9787234042553191,24.0
420,1.0,0.8333333333333334,0.9090909090909091,6.0
421,0.9994339088593264,0.9907407407407407,0.9950683387346766,3564.0
422,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
423,1.0,1.0,1.0,42.0
424,1.0,1.0,1.0,18.0
425,1.0,1.0,1.0,72.0
426,0.9102564102564102,0.9861111111111112,0.9466666666666667,72.0
427,0.9904761904761905,0.9719626168224299,0.9811320754716981,107.0
428,1.0,1.0,1.0,2.0
429,1.0,1.0,1.0,9.0
430,1.0,0.6,0.75,5.0
431,1.0,1.0,1.0,25.0
432,1.0,1.0,1.0,3.0
433,1.0,1.0,1.0,9.0
434,1.0,0.9333333333333333,0.9655172413793104,15.0
435,1.0,1.0,1.0,3.0
436,1.0,1.0,1.0,5.0
437,1.0,0.9921875,0.996078431372549,128.0
438,1.0,1.0,1.0,3.0
439,1.0,1.0,1.0,1.0
440,0.9954545454545455,0.9776785714285714,0.9864864864864865,896.0
441,1.0,1.0,1.0,12.0
442,1.0,1.0,1.0,15.0
443,0.9758064516129032,0.983739837398374,0.979757085020243,123.0
444,1.0,1.0,1.0,1.0
445,1.0,1.0,1.0,12.0
446,0.96,0.9863013698630136,0.972972972972973,146.0
447,1.0,1.0,1.0,5.0
448,1.0,1.0,1.0,3.0
449,1.0,1.0,1.0,3.0
450,0.9903846153846154,0.8956521739130435,0.9406392694063926,345.0
451,0.9852871381110584,0.9928263988522238,0.9890424011434016,2091.0
452,1.0,0.9615384615384616,0.9803921568627451,26.0
453,0.9758454106280193,0.9950738916256158,0.9853658536585366,203.0
454,0.9904761904761905,0.9904761904761905,0.9904761904761905,105.0
455,0.9312714776632303,0.9899543378995433,0.9597166888003541,2190.0
456,0.0,0.0,0.0,18.0
457,0.9879518072289156,0.9982608695652174,0.9930795847750865,575.0
458,0.975609756097561,0.9876543209876543,0.9815950920245399,81.0
459,1.0,1.0,1.0,15.0
460,0.9930555555555556,0.9930555555555556,0.9930555555555556,144.0
461,1.0,1.0,1.0,21.0
462,1.0,1.0,1.0,9.0
463,1.0,1.0,1.0,105.0
464,0.9858557284299858,0.9886524822695035,0.9872521246458924,705.0
465,1.0,1.0,1.0,38.0
466,1.0,0.9859943977591037,0.9929478138222849,357.0
467,1.0,0.9825870646766169,0.9912170639899623,402.0
468,1.0,0.9583333333333334,0.9787234042553191,72.0
469,1.0,1.0,1.0,60.0
470,1.0,1.0,1.0,6.0
471,1.0,1.0,1.0,42.0
472,1.0,1.0,1.0,12.0
473,0.9523809523809523,0.9523809523809523,0.9523809523809523,42.0
474,0.989247311827957,0.968421052631579,0.9787234042553191,95.0
475,1.0,1.0,1.0,129.0
476,1.0,0.9785714285714285,0.9891696750902527,140.0
477,1.0,1.0,1.0,44.0
478,0.75,1.0,0.8571428571428571,24.0
479,0.782608695652174,1.0,0.8780487804878049,36.0
480,0.9879518072289156,0.9761904761904762,0.9820359281437125,84.0
481,1.0,0.9523809523809523,0.975609756097561,42.0
482,1.0,0.9885057471264368,0.9942196531791907,87.0
483,1.0,1.0,1.0,24.0
484,1.0,0.9717514124293786,0.9856733524355301,177.0
485,1.0,1.0,1.0,115.0
486,1.0,1.0,1.0,50.0
487,0.9837837837837838,0.9837837837837838,0.9837837837837838,185.0
488,1.0,0.99,0.9949748743718593,100.0
489,1.0,0.9875,0.9937106918238994,80.0
490,0.9983646770237122,0.9846774193548387,0.9914738124238733,1240.0
491,0.9761904761904762,1.0,0.9879518072289156,41.0
492,1.0,0.9555555555555556,0.9772727272727273,45.0
493,1.0,0.9655172413793104,0.9824561403508771,87.0
494,1.0,1.0,1.0,16.0
495,0.9924528301886792,0.9924528301886792,0.9924528301886792,265.0
496,0.9699248120300752,0.9772727272727273,0.9735849056603774,132.0
497,0.9494949494949495,0.9894736842105263,0.9690721649484536,95.0
498,0.9217877094972067,1.0,0.9593023255813954,165.0
499,1.0,1.0,1.0,15.0
500,1.0,0.9818181818181818,0.9908256880733946,55.0
501,1.0,0.9892578125,0.9945999018163967,1024.0
502,0.9966996699669967,0.9853181076672104,0.9909762100082035,613.0
503,0.9792490118577075,0.9880358923230309,0.9836228287841191,1003.0
504,1.0,0.9858585858585859,0.9928789420142421,1485.0
